"date","owned_tweets_about_games","owned_retweets_about_games","owned_favorites_about_games","owned_replies_about_games","owned_tweets_total","owned_retweets_total","owned_favorites_total","owned_replies_total","paid_volume","paid_retweets","paid_favorites","paid_replies","negative_comments","neutral_comments","positive_comments","ups_comments","mean_sentiment_comments","earned_volume_comments","news_volume","earnings","press_release_volume","trailer","launch","teaser","convention","expansions_dlc","week","year","EAprice","EAtrading_volume","launch_period","positive_pct","negative_pct"
2017-09-13,12,10177,12590,2584,106,17999,38807,3740,0,0,0,0,24,51,74,330,0.200928187919463,149,4,0,0,0,0,0,0,0,37,2017,119.599998,2515300,"During Launch",0.496644295302013,0.161073825503356
2017-09-14,6,2510,3982,3298,22,3197,7355,3577,0,0,0,0,24,30,30,157,0.121535714285714,84,4,0,0,0,0,0,0,0,37,2017,119.190002,2543100,"During Launch",0.357142857142857,0.285714285714286
2017-09-15,14,1639,9201,523,35,4575,19703,957,0,0,0,0,7,15,30,3122,0.197823076923077,52,1,0,2,1,2,0,0,0,37,2017,119.419998,3192000,"During Launch",0.576923076923077,0.134615384615385
2017-09-16,4,314,1101,74,8,596,2246,186,0,0,0,0,96,138,322,4102,0.263983992805755,556,0,0,0,0,0,0,0,0,37,2017,NA,NA,"During Launch",0.579136690647482,0.172661870503597
2017-09-17,5,764,3297,285,15,1289,5647,415,0,0,0,0,14,15,35,148,0.1756515625,64,0,0,0,0,0,0,0,0,38,2017,NA,NA,"During Launch",0.546875,0.21875
2017-09-18,6,1479,6945,943,43,2901,13021,1358,0,0,0,0,12,25,29,123,0.150539393939394,66,3,0,0,0,0,0,0,0,38,2017,119.959999,2573700,"During Launch",0.439393939393939,0.181818181818182
2017-09-19,7,1214,7883,740,39,2814,15264,1556,2,3,11,4,13,14,24,69,0.110017647058824,51,5,0,0,0,0,0,0,0,38,2017,120.209999,2237900,"During Launch",0.470588235294118,0.254901960784314
2017-09-20,8,2187,10920,912,86,7480,28117,1695,1,0,3,0,9,10,18,43,0.214813513513514,37,4,0,0,0,0,0,0,0,38,2017,120.339996,2393300,"During Launch",0.486486486486487,0.243243243243243
2017-09-21,9,3264,14528,995,31,4266,18471,1409,0,0,0,0,33,37,59,389,0.113280952380952,126,3,0,0,0,0,0,0,0,38,2017,118.019997,1914400,"During Launch",0.468253968253968,0.261904761904762
2017-09-22,18,4477,17238,644,48,5773,23555,1087,0,0,0,0,55,35,66,276,0.0368129032258065,155,2,0,0,0,0,0,0,0,38,2017,118.5,2077300,"During Launch",0.425806451612903,0.354838709677419
2017-09-23,10,3850,1773,342,20,4348,4934,475,0,0,0,0,15,8,16,51,0.0573641025641026,39,1,0,0,0,0,0,0,0,38,2017,NA,NA,"During Launch",0.41025641025641,0.384615384615385
2017-09-24,3,3874,1452,186,13,4146,2409,297,0,0,0,0,24,15,25,356,0.089721875,64,0,0,0,0,0,0,0,0,39,2017,NA,NA,"During Launch",0.390625,0.375
