"date","owned_tweets_about_games","owned_retweets_about_games","owned_favorites_about_games","owned_replies_about_games","owned_tweets_total","owned_retweets_total","owned_favorites_total","owned_replies_total","paid_volume","paid_retweets","paid_favorites","paid_replies","negative_comments","neutral_comments","positive_comments","ups_comments","mean_sentiment_comments","earned_volume_comments","news_volume","earnings","press_release_volume","trailer","launch","teaser","convention","expansions_dlc","week","year","EAprice","EAtrading_volume","launch_period","positive_pct","negative_pct"
2018-05-10,1,7,52,8,10,395,1665,267,0,0,0,0,11,3,21,56,0.16846,35,1,0,0,0,0,0,0,0,19,2018,133.759995,4610300,"Pre-Launch",0.6,0.314285714285714
2018-05-11,1,8,59,23,19,1495,12561,759,0,0,0,0,14,8,25,50,0.187646808510638,47,1,0,0,0,0,0,0,0,19,2018,132.809998,4364200,"Pre-Launch",0.531914893617021,0.297872340425532
2018-05-12,0,0,0,0,9,1419,12367,593,0,0,0,0,7,13,19,85,0.200171794871795,39,0,0,0,0,0,0,0,0,19,2018,NA,NA,"Pre-Launch",0.487179487179487,0.17948717948718
2018-05-13,2,22,144,14,5,370,2511,61,0,0,0,0,7,14,23,79,0.255152272727273,44,1,0,0,0,0,0,0,0,19,2018,NA,NA,"Pre-Launch",0.522727272727273,0.159090909090909
2018-05-14,0,0,0,0,9,1487,10404,421,0,0,0,0,28,25,30,244,0.00191566265060242,83,1,0,0,0,0,0,0,0,20,2018,132.529999,2280200,"Pre-Launch",0.36144578313253,0.337349397590361
2018-05-15,4,105,536,72,31,1442,13953,924,0,0,0,0,41,59,140,914,0.302251785714286,224,2,0,0,0,0,0,0,0,20,2018,130.110001,2107300,"Pre-Launch",0.625,0.183035714285714
2018-05-16,6,20001,58183,3047,18,20599,62756,3273,0,0,0,0,30,16,52,149,0.112061176470588,85,7,0,0,0,0,0,0,1,20,2018,130.860001,1842300,"Pre-Launch",0.611764705882353,0.352941176470588
2018-05-17,2,30,166,18,22,1171,9473,556,0,0,0,0,16,16,21,119,0.0932358490566038,53,4,0,0,0,0,0,0,0,20,2018,130.809998,2773900,"Pre-Launch",0.39622641509434,0.30188679245283
2018-05-18,3,390,4566,306,13,2496,21981,1082,0,0,0,0,11,16,41,315,0.247035294117647,68,3,0,0,0,0,1,0,0,20,2018,132,2989200,"Pre-Launch",0.602941176470588,0.161764705882353
2018-05-19,5,723,4942,382,13,2165,17318,1141,0,0,0,0,22,19,36,123,0.103098701298701,77,1,0,0,0,0,0,0,0,20,2018,NA,NA,"Pre-Launch",0.467532467532468,0.285714285714286
2018-05-20,1,10,82,11,12,1052,6730,336,0,0,0,0,14,5,38,173,0.313673684210526,57,0,0,0,0,0,0,0,0,20,2018,NA,NA,"Pre-Launch",0.666666666666667,0.245614035087719
2018-05-21,3,8147,20781,2100,24,8986,29852,2714,0,0,0,0,7,2,3,13,-0.237308333333333,12,2,0,0,0,0,0,0,0,21,2018,132.910004,2088400,"Pre-Launch",0.25,0.583333333333333
2018-05-22,1,16,120,8,22,2818,19354,1046,3,210,6549,76,236,286,481,5774,0.158731605184447,1003,9,0,1,0,0,0,0,0,21,2018,132.179993,1709900,"Pre-Launch",0.479561316051844,0.235294117647059
