"","date","owned_tweets_about_games","owned_retweets_about_games","owned_favorites_about_games","owned_replies_about_games","owned_tweets_total","owned_retweets_total","owned_favorites_total","owned_replies_total","paid_volume","paid_retweets","paid_favorites","paid_replies","negative_comments","neutral_comments","positive_comments","ups_comments","mean_sentiment_comments","earned_volume_comments","news_volume","earnings","press_release_volume","trailer","launch","teaser","convention","expansions_dlc","week","year","EAprice","EAtrading_volume"
"36",2017-02-05,1,159,741,51,73,6800,12551,856,0,0,0,0,30,26,49,1643,0.10948380952381,105,0,0,0,0,0,0,0,0,6,2017,NA,NA
"37",2017-02-06,11,64,341,26,899,12546,28292,1202,0,0,0,0,34,29,69,260,0.179751515151515,132,0,0,0,0,0,0,0,0,6,2017,81.519997,2351100
"38",2017-02-07,7,1,7,1,818,5312,12080,1485,0,0,0,0,24,25,66,732,0.252850434782609,115,2,0,0,0,0,0,0,0,6,2017,82.209999,2944000
"39",2017-02-08,6,0,2,6,856,3587,12870,1626,0,0,0,0,16,16,58,341,0.327647777777778,90,1,0,0,0,0,0,0,0,6,2017,81.480003,2738900
"40",2017-02-09,11,56,219,10,964,2543,11173,1407,0,0,0,0,5,5,7,82,0.136258823529412,17,1,0,0,0,0,0,0,0,6,2017,83.260002,3193000
"41",2017-02-10,8,249,1274,104,1042,4321,19480,2127,0,0,0,0,241,125,402,11379,0.153029817708333,768,2,0,0,0,0,0,0,0,6,2017,86.169998,6561700
"42",2017-02-11,2,0,5,3,172,4209,11232,1160,0,0,0,0,289,178,505,9763,0.1484079218107,972,0,0,0,0,0,0,0,0,6,2017,NA,NA
"43",2017-02-12,1,64,309,77,12,1011,4537,394,0,0,0,0,46,33,115,2772,0.22164175257732,194,0,0,0,0,0,0,0,0,7,2017,NA,NA
"44",2017-02-13,10,0,3,5,770,2244,9015,828,0,0,0,0,73,62,198,3529,0.236953453453453,333,0,0,0,0,0,0,0,0,7,2017,86.32,4435000
"45",2017-02-14,15,25,31,11,802,5225,17927,1972,0,0,0,0,21,17,54,436,0.22668152173913,92,2,0,1,0,0,0,0,0,7,2017,86.059998,3046800
"46",2017-02-15,13,324,1291,64,615,2808,10545,1791,0,0,0,0,17,11,49,154,0.294816883116883,77,2,0,0,0,0,0,0,0,7,2017,87.949997,3293500
"47",2017-02-16,8,931,3014,133,684,4172,12466,1216,0,0,0,0,4,3,8,15,0.118946666666667,15,3,0,0,0,0,0,0,0,7,2017,87.849998,2739100
"48",2017-02-17,6,255,1183,25,498,6437,21976,2282,0,0,0,0,6,9,11,17,0.111092307692308,26,0,0,0,0,0,0,0,0,7,2017,87.300003,1773700
"49",2017-02-18,2,142,644,23,131,1488,7471,577,0,0,0,0,636,425,1106,19723,0.13461089063221,2167,0,0,0,0,0,0,0,0,7,2017,NA,NA
"50",2017-02-19,2,392,1631,45,86,2772,12589,1147,0,0,0,0,57,40,101,259,0.136639898989899,198,0,0,0,0,0,0,0,0,8,2017,NA,NA
"51",2017-02-20,8,182,654,27,466,1892,8678,1116,0,0,0,0,24,15,58,156,0.185409278350515,97,0,0,0,0,0,0,0,0,8,2017,NA,NA
"52",2017-02-21,8,300,1061,26,750,2436,10538,2887,1,2,9,0,12,8,22,49,0.202233333333333,42,2,0,0,0,0,0,0,0,8,2017,87.540001,1871800
"53",2017-02-22,5,925,2416,99,835,5359,18146,2511,0,0,0,0,1,8,16,35,0.413912,25,2,0,0,0,0,0,0,0,8,2017,87.379997,1751400
"54",2017-02-23,3,2,2,2,778,3463,13093,1135,0,0,0,0,98,77,239,9485,0.225357487922705,414,3,0,0,0,0,0,0,0,8,2017,86.650002,3113300
"55",2017-02-24,6,5015,12797,692,640,8207,27570,2155,0,0,0,0,511,346,870,9637,0.140708627678054,1727,0,0,0,0,0,0,0,0,8,2017,86.540001,3026700
"56",2017-02-25,2,72,310,11,185,3546,9123,3078,0,0,0,0,502,563,1019,16241,0.157809213051823,2084,0,0,0,0,0,0,0,0,8,2017,NA,NA
"57",2017-02-26,3,375,1530,129,72,827,3716,313,0,0,0,0,153,100,270,2011,0.149626003824092,523,0,0,0,0,0,0,0,0,9,2017,NA,NA
"58",2017-02-27,4,45,261,9,786,1635,6443,1190,0,0,0,0,102,72,182,1927,0.142806179775281,356,1,0,0,0,0,0,0,0,9,2017,87,1519300
"59",2017-02-28,7,612,1922,110,483,3656,15633,1360,0,0,0,0,216,246,400,7391,0.138113573085847,862,6,0,0,0,0,0,0,0,9,2017,86.5,2421100
"60",2017-03-01,1,175,570,37,53,3551,12356,1125,0,0,0,0,241,213,535,18624,0.180422042467139,989,5,0,0,0,0,0,0,0,9,2017,87.82,2090700
"61",2017-03-02,2,1300,4085,139,42,4325,15006,1449,0,0,0,0,396,364,878,8094,0.207230463980464,1638,2,0,0,0,0,0,0,0,9,2017,87.010002,1709200
"62",2017-03-03,1,101,398,11,47,3833,16905,1667,0,0,0,0,150,96,258,2300,0.149327182539683,504,5,0,0,0,0,0,0,0,9,2017,87.239998,1190600
"63",2017-03-04,3,397,1794,52,29,2211,10582,1459,0,0,0,0,319,281,647,10293,0.155991980753809,1247,0,0,0,0,0,0,0,0,9,2017,NA,NA
"64",2017-03-05,3,231,983,38,18,1766,4246,1141,0,0,0,0,61,40,100,307,0.141612935323383,201,0,0,0,0,0,0,0,0,10,2017,NA,NA
"65",2017-03-06,0,0,0,0,20,3530,11917,1235,0,0,0,0,80,63,129,1247,0.118463235294118,272,0,0,0,0,0,0,0,0,10,2017,87.139999,1882300
"66",2017-03-07,2,148,596,31,44,1723,7921,1204,0,0,0,0,211,183,442,5063,0.170051794258373,836,1,0,0,0,0,0,0,0,10,2017,88.300003,3016900
"67",2017-03-08,1,378,1610,107,30,3713,14280,1689,0,0,0,0,187,160,398,4091,0.165757046979866,745,1,0,0,0,0,0,0,0,10,2017,89,2577900
"68",2017-03-09,3,1937,5106,245,33,5078,15628,717,0,0,0,0,103,114,250,1562,0.175928907922912,467,3,0,0,0,0,0,0,0,10,2017,89.029999,3127100
"69",2017-03-10,9,4340,10637,566,55,7930,26447,2037,0,0,0,0,262,229,508,18546,0.15256956956957,999,1,0,0,1,0,0,0,0,10,2017,89.809998,2005300
"70",2017-03-11,5,874,4284,368,50,3645,17036,1177,0,0,0,0,660,512,1168,12169,0.145153974358974,2340,0,0,0,0,0,0,0,0,10,2017,NA,NA
"71",2017-03-12,3,199,1450,41,31,2849,12279,1657,0,0,0,0,357,323,617,10556,0.133301464919044,1297,0,0,0,0,0,0,0,0,11,2017,NA,NA
"72",2017-03-13,4,1154,4109,187,31,2454,8684,810,0,0,0,0,403,409,711,9156,0.1157014445174,1523,1,0,0,0,0,0,0,0,11,2017,90.730003,2753300
"73",2017-03-14,3,544,2332,89,54,2773,11224,1173,0,0,0,0,213,232,395,4034,0.157830476190476,840,0,0,0,0,0,0,0,0,11,2017,90.900002,1967000
"74",2017-03-15,4,293,1168,84,38,4898,19024,1539,1,3,169,3,1740,1063,2741,74964,0.120448575036075,5544,0,0,0,0,0,0,0,0,11,2017,91.510002,3197300
"75",2017-03-16,3,472,1940,165,41,3795,14094,1201,0,0,0,0,2025,1384,3177,101504,0.112402414211965,6586,1,0,0,0,0,0,0,0,11,2017,90.199997,5153100
"76",2017-03-17,3,276,1430,108,62,5936,21579,1558,0,0,0,0,2700,1909,3995,107550,0.105058310088331,8604,0,0,0,0,0,0,0,0,11,2017,89.589996,6446600
"77",2017-03-18,4,1773,2660,207,48,9011,16044,1455,1,0,0,0,1158,820,1680,28198,0.0962995079278294,3658,1,0,0,0,0,0,0,0,11,2017,NA,NA
"78",2017-03-19,4,593,2947,255,40,25686,18997,1421,0,0,0,0,2098,1143,2185,64308,-0.0063846479911537,5426,0,0,0,0,0,0,0,0,12,2017,NA,NA
"79",2017-03-20,9,3598,10019,831,54,13850,21208,1831,0,0,0,0,2406,1635,3548,134285,0.0969535643694821,7589,0,0,0,0,0,0,0,0,12,2017,89.160004,4278100
"80",2017-03-21,11,1296,4862,517,91,9201,14512,1421,0,0,0,0,1474,1091,2776,26030,0.156852405916495,5341,6,0,1,0,1,0,0,0,12,2017,88.410004,3278600
"81",2017-03-22,7,172,875,117,67,2973,10952,2102,0,0,0,0,623,430,1135,7669,0.155796023765996,2188,3,0,0,0,0,0,0,0,12,2017,88.739998,2326200
"82",2017-03-23,9,1308,3828,520,67,5247,10449,1271,3,3,8,1,752,597,1303,20413,0.141228619909502,2652,2,0,0,0,0,0,0,0,12,2017,88.610001,1910000
"83",2017-03-24,11,422,2416,587,126,7664,21754,3207,0,0,0,0,602,397,1051,21063,0.150021219512195,2050,0,0,0,0,0,0,0,0,12,2017,89.349998,1878100
"84",2017-03-25,3,102,797,165,23,1090,5335,1627,0,0,0,0,558,337,968,10538,0.150301395598497,1863,1,0,0,0,0,0,0,0,12,2017,NA,NA
"85",2017-03-26,3,213,1428,237,27,801,4478,637,0,0,0,0,280,192,628,9875,0.226236363636364,1100,0,0,0,0,0,0,0,0,13,2017,NA,NA
"86",2017-03-27,3,232,1372,100,35,3992,5573,680,0,0,0,0,1187,704,1952,47798,0.140283606557377,3843,0,0,0,0,0,0,0,0,13,2017,89.019997,2109200
